parcode,trial,fix_time,fix_item
11,90,205,1
11,90,518,2
11,91,261,1
11,91,420,2
11,91,201,1
11,91,320,2
11,91,80,1
11,92,200,1
11,92,259,2
11,93,638,2
11,93,100,1
11,94,219,2
11,94,360,1
11,95,480,2
11,95,220,1
11,95,197,2
11,96,259,2
11,96,622,1
11,96,279,2
11,97,500,2
11,97,60,1
11,98,296,1
11,98,80,2
11,99,197,1
11,99,320,2
11,99,20,1
11,100,516,1
11,100,776,2
13,1,1036,1
13,1,757,2
13,1,997,1
13,1,757,2
13,2,1176,1
13,2,697,2
13,2,738,1
13,3,1612,1
13,3,1634,2
13,3,1396,1
13,3,518,2
13,3,998,1
13,4,857,1
13,4,677,2
13,4,379,1
13,5,597,1
13,5,3448,2
13,5,2312,1
13,5,876,2
13,5,1056,1
13,5,1116,2
13,5,1575,1
13,5,160,2
13,6,597,1
13,6,2571,2
13,6,1016,1
13,7,664,1
13,7,2065,2
13,7,1555,1
13,7,1077,2
13,7,458,1
13,7,2213,2
13,8,3368,1
13,8,699,2
13,9,716,1
13,9,857,2
13,9,518,1
13,9,1095,2
13,10,338,1
13,10,1475,2
13,11,717,1
13,11,1395,2
13,12,995,1
13,12,3867,2
13,12,1076,1
13,12,3190,2
13,12,140,1
13,13,1253,1
13,13,659,2
13,14,3264,1
13,14,901,2
13,14,793,1
13,15,996,1
13,15,2730,2
13,15,279,1
13,16,2651,1
13,16,1515,2
13,17,658,1
13,17,837,2
13,18,1355,1
13,18,2910,2
13,18,1320,1
13,18,1870,2
13,18,1215,1
13,18,159,2
13,19,997,1
13,19,1216,2
13,20,712,1
13,20,2352,2
13,21,4065,1
13,21,1476,2
13,21,1536,1
13,22,756,1
13,22,817,2
13,22,1076,1
13,22,459,2
13,23,597,1
13,23,1236,2
13,23,1573,1
13,23,1295,2
13,23,1654,1
13,23,1216,2
13,23,782,1
13,23,1311,2
13,24,1555,1
13,24,2850,2
13,25,557,1
13,25,2432,2
13,25,737,1
13,25,299,2
13,25,898,1
13,26,1276,1
13,26,1595,2
13,27,199,1
13,27,617,2
13,27,1894,1
13,28,2869,1
13,28,1555,2
13,28,1495,1
13,28,2212,2
13,29,736,1
13,29,1237,2
13,29,578,1
13,30,1793,1
13,30,6259,2
13,31,566,1
13,31,1287,2
13,31,1436,1
13,31,957,2
13,31,300,1
13,32,956,1
13,32,1036,2
13,32,1475,1
13,32,1496,2
13,33,679,1
13,33,2072,2
13,33,19,1
13,33,1695,2
13,33,3429,1
13,33,877,2
13,33,977,1
13,33,4824,2
13,34,735,1
13,34,1335,2
13,34,2851,1
13,35,1235,1
13,35,1678,2
13,35,1977,1
13,35,754,2
13,35,119,1
13,35,2293,2
13,35,2073,1
13,35,321,2
13,36,2888,1
13,36,667,2
13,36,967,1
13,37,1455,1
13,37,1101,2
13,37,175,1
13,37,615,2
13,37,2315,1
13,37,756,2
13,37,339,1
13,38,2551,1
13,38,1076,2
13,38,1595,1
13,38,553,2
13,38,1375,1
13,38,1415,2
13,38,738,1
13,39,977,1
13,39,1057,2
13,39,597,1
13,39,1513,2
13,39,637,1
13,39,20,2
13,40,657,1
13,40,937,2
13,40,79,1
13,40,100,2
13,40,899,1
13,41,796,1
13,41,1216,2
13,42,1156,1
13,42,938,2
13,42,439,1
13,42,1456,2
13,42,379,1
13,43,809,1
13,43,957,2
13,43,1758,1
13,43,1735,2
13,44,1734,1
13,44,577,2
13,44,519,1
13,45,1036,1
13,45,637,2
13,45,698,1
13,45,957,2
13,46,520,1
13,46,697,2
13,46,1595,1
13,46,698,2
13,46,738,1
13,47,498,1
13,47,7717,2
13,47,677,1
13,48,598,1
13,48,808,2
13,49,597,1
13,49,737,2
13,49,558,1
13,49,1055,2
13,49,958,1
13,50,2372,1
13,50,4681,2
13,50,1585,1
13,50,539,2
13,50,957,1
13,51,398,1
13,51,794,2
13,51,1136,1
13,51,836,2
13,51,1515,1
13,51,559,2
13,52,440,1
13,52,698,2
13,52,199,1
13,53,578,2
13,53,657,1
13,53,996,2
13,54,600,1
13,54,1255,2
13,55,458,1
13,55,598,2
13,55,876,1
13,56,858,1
13,56,1197,2
13,56,836,1
13,56,338,2
13,56,1196,1
13,56,720,2
13,57,539,1
13,57,874,2
13,57,6121,1
13,57,1814,2
13,57,1555,1
13,58,634,1
13,58,558,2
13,58,499,1
13,59,657,1
13,59,1038,2
13,59,220,1
13,60,518,1
13,60,1155,2
13,61,2372,1
13,61,5202,2
13,61,1137,1
13,62,537,1
13,62,140,2
13,63,518,1
13,63,877,2
13,63,877,1
13,63,788,2
13,63,1335,1
13,63,1076,2
13,63,917,1
13,64,555,1
13,64,1290,2
13,65,500,1
13,65,1139,2
13,65,318,1
13,65,2113,2
13,65,1676,1
13,65,1495,2
13,65,299,1
13,66,857,1
13,66,839,2
13,67,6717,1
13,67,1038,2
13,67,1196,1
13,67,478,2
13,68,677,2
13,68,1495,1
13,69,400,1
13,69,678,2
13,70,520,1
13,70,837,2
13,71,1140,1
13,71,518,2
13,72,518,2
13,72,1275,1
13,73,619,1
13,73,682,2
13,74,1135,1
13,74,758,2
13,75,518,1
13,75,658,2
13,75,1039,1
13,76,936,1
13,76,2073,2
13,76,360,1
13,77,698,1
13,77,1654,2
13,77,1036,1
13,78,560,1
13,78,677,2
13,78,1516,1
13,78,837,2
13,79,637,1
13,79,777,2
13,80,423,1
13,80,359,2
13,81,997,1
13,81,998,2
13,82,2807,1
13,82,1394,2
13,82,579,1
13,83,521,1
13,83,555,2
13,83,61,1
13,84,1835,1
13,84,574,2
13,84,423,1
13,84,143,2
13,84,1156,1
13,84,3169,2
13,84,838,1
13,84,61,2
13,85,737,1
13,85,1178,2
13,86,817,1
13,86,977,2
13,87,836,1
13,87,777,2
13,87,1036,1
13,87,658,2
13,88,519,1
13,88,1017,2
13,89,558,1
13,89,3688,2
13,89,1357,1
13,89,936,2
13,89,378,1
13,90,1753,1
13,90,877,2
13,91,459,1
13,91,1017,2
13,92,398,1
13,92,717,2
13,92,837,1
13,93,618,1
13,93,1177,2
13,94,517,1
13,94,458,2
13,94,459,1
13,95,537,1
13,95,876,2
13,96,438,1
13,96,838,2
13,97,478,1
13,97,1238,2
13,97,361,1
13,98,399,1
13,98,677,2
13,98,1833,1
13,98,1636,2
13,98,478,1
13,99,836,1
13,99,419,2
13,99,541,1
13,100,837,1
13,100,935,2
14,1,399,2
14,1,737,1
14,2,1634,2
14,3,1042,2
14,4,557,1
14,5,580,2
14,5,479,1
14,6,339,2
14,6,101,1
14,7,180,2
14,7,19,1
