fix_item,fix_time,parcode,trial
1,380.0,1,46
0,220.0,1,47
1,460.0,1,47
0,80.0,1,47
2,520.0,1,47
0,80.0,1,47
1,490.0,1,47
0,230.0,1,48
2,260.0,1,48
0,80.0,1,48
1,580.0,1,48
0,10.0,1,48
2,490.0,1,48
0,230.0,1,49
1,80.0,1,49
0,80.0,1,49
2,490.0,1,49
0,70.0,1,49
1,900.0,1,49
0,70.0,1,49
2,90.0,1,49
0,200.0,1,50
1,260.0,1,50
0,70.0,1,50
2,420.0,1,50
0,90.0,1,50
1,410.0,1,50
0,70.0,1,50
2,540.0,1,50
0,70.0,1,50
1,400.0,1,50
0,210.0,1,51
2,280.0,1,51
0,60.0,1,51
1,560.0,1,51
0,60.0,1,51
2,620.0,1,51
0,90.0,1,51
1,2510.0,1,51
0,50.0,1,51
2,240.0,1,51
0,310.0,1,52
1,120.0,1,52
0,80.0,1,52
2,520.0,1,52
0,70.0,1,52
1,180.0,1,52
0,290.0,1,53
2,160.0,1,53
0,180.0,1,53
1,320.0,1,53
0,290.0,1,54
1,170.0,1,54
0,90.0,1,54
2,740.0,1,54
0,60.0,1,54
1,840.0,1,54
0,60.0,1,54
2,1210.0,1,54
0,80.0,1,54
1,440.0,1,54
0,230.0,1,55
1,410.0,1,55
0,80.0,1,55
2,860.0,1,55
0,60.0,1,55
1,480.0,1,55
0,100.0,1,55
2,210.0,1,55
0,200.0,1,56
2,660.0,1,56
0,70.0,1,56
1,60.0,1,56
0,270.0,1,57
1,330.0,1,57
0,60.0,1,57
2,360.0,1,57
0,90.0,1,57
0,280.0,1,58
2,290.0,1,58
0,170.0,1,58
1,420.0,1,58
0,50.0,1,58
2,1040.0,1,58
0,280.0,1,59
1,460.0,1,59
0,80.0,1,59
2,420.0,1,59
0,70.0,1,59
1,2060.0,1,59
0,50.0,1,59
2,330.0,1,59
0,210.0,1,60
2,350.0,1,60
0,80.0,1,60
1,430.0,1,60
0,330.0,1,61
1,250.0,1,61
0,70.0,1,61
2,890.0,1,61
0,70.0,1,61
1,770.0,1,61
0,60.0,1,61
2,280.0,1,61
0,210.0,1,62
2,220.0,1,62
0,80.0,1,62
1,2890.0,1,62
0,90.0,1,62
2,150.0,1,62
0,250.0,1,63
2,500.0,1,63
0,240.0,1,63
1,350.0,1,63
0,260.0,1,64
1,360.0,1,64
0,60.0,1,64
2,480.0,1,64
0,70.0,1,64
1,450.0,1,64
0,210.0,1,65
1,330.0,1,65
0,60.0,1,65
2,930.0,1,65
0,90.0,1,65
1,720.0,1,65
0,260.0,1,66
2,180.0,1,66
0,90.0,1,66
1,510.0,1,66
0,80.0,1,66
2,500.0,1,66
0,240.0,1,67
1,190.0,1,67
0,100.0,1,67
2,1220.0,1,67
0,650.0,1,68
1,130.0,1,68
0,70.0,1,68
2,870.0,1,68
0,70.0,1,68
1,880.0,1,68
0,80.0,1,68
2,800.0,1,68
0,70.0,1,68
1,410.0,1,68
0,70.0,1,68
2,590.0,1,68
0,70.0,1,68
1,1040.0,1,68
0,90.0,1,68
2,860.0,1,68
0,60.0,1,68
1,1080.0,1,68
0,260.0,1,69
2,180.0,1,69
0,80.0,1,69
1,570.0,1,69
0,680.0,1,70
1,600.0,1,70
0,440.0,1,71
1,270.0,1,71
0,70.0,1,71
2,380.0,1,71
0,80.0,1,71
1,440.0,1,71
0,320.0,1,72
1,240.0,1,72
0,80.0,1,72
2,350.0,1,72
0,100.0,1,72
1,1140.0,1,72
0,70.0,1,72
2,260.0,1,72
0,260.0,1,73
1,280.0,1,73
0,70.0,1,73
2,610.0,1,73
0,70.0,1,73
1,2580.0,1,73
0,80.0,1,73
2,290.0,1,73
0,260.0,1,74
1,830.0,1,74
0,80.0,1,74
2,320.0,1,74
0,50.0,1,74
1,190.0,1,74
0,150.0,1,75
2,320.0,1,75
0,70.0,1,75
1,670.0,1,75
0,310.0,1,75
2,170.0,1,75
0,70.0,1,75
1,320.0,1,75
0,200.0,1,76
2,340.0,1,76
0,70.0,1,76
1,330.0,1,76
0,60.0,1,76
2,320.0,1,76
0,70.0,1,76
1,360.0,1,76
0,80.0,1,76
2,550.0,1,76
0,260.0,1,77
2,170.0,1,77
0,160.0,1,77
1,440.0,1,77
0,60.0,1,77
2,590.0,1,77
0,70.0,1,77
1,1280.0,1,77
0,340.0,1,78
1,170.0,1,78
0,180.0,1,78
2,720.0,1,78
0,50.0,1,78
1,370.0,1,78
0,60.0,1,78
2,490.0,1,78
0,70.0,1,78
1,120.0,1,78
0,70.0,1,78
2,450.0,1,78
0,290.0,1,79
1,1310.0,1,79
0,70.0,1,79
2,610.0,1,79
0,130.0,1,79
1,170.0,1,79
0,210.0,1,80
2,400.0,1,80
0,70.0,1,80
1,180.0,1,80
0,80.0,1,80
2,380.0,1,80
0,180.0,1,81
2,170.0,1,81
0,60.0,1,81
1,460.0,1,81
0,80.0,1,81
0,280.0,1,82
2,290.0,1,82
0,80.0,1,82
1,360.0,1,82
0,90.0,1,82
2,50.0,1,82
0,190.0,1,83
1,410.0,1,83
0,70.0,1,83
2,610.0,1,83
0,80.0,1,83
1,670.0,1,83
0,80.0,1,83
2,1380.0,1,83
0,70.0,1,83
1,370.0,1,83
0,80.0,1,83
2,1170.0,1,83
0,80.0,1,83
1,1540.0,1,83
0,80.0,1,83
2,2200.0,1,83
0,70.0,1,83
1,620.0,1,83
0,160.0,1,83
2,420.0,1,83
0,70.0,1,83
1,240.0,1,83
0,240.0,1,84
1,230.0,1,84
0,110.0,1,84
2,590.0,1,84
