parcode,trial,rt,choice,item_left,item_right
14,96,2487,1,1,2
14,98,1045,1,2,5
14,99,2121,1,3,2
14,100,1819,1,3,0
16,1,1251,1,5,5
16,2,1038,1,7,8
16,3,1256,-1,5,2
16,4,1788,1,0,2
16,5,2499,-1,2,6
16,6,2868,1,5,2
16,7,1421,1,6,5
16,8,2446,1,5,6
16,9,1545,1,3,6
16,10,3669,1,5,6
16,11,1818,1,8,6
16,12,1181,-1,10,6
16,13,1195,1,3,8
16,14,850,1,9,10
16,15,1262,1,8,4
16,16,996,-1,6,3
16,17,1813,-1,9,9
16,18,4718,1,3,5
16,19,696,1,5,10
16,20,5891,-1,5,2
16,21,673,1,5,10
16,22,1172,-1,9,6
16,23,1055,1,5,8
16,24,1359,1,9,7
16,25,1337,1,5,8
16,26,1598,-1,6,3
16,27,818,-1,10,9
16,28,1794,-1,6,3
16,29,698,-1,10,6
16,30,692,1,6,8
16,31,1482,1,2,7
16,32,1289,-1,2,3
16,33,1058,1,2,4
16,34,2231,1,6,9
16,35,1352,1,6,8
16,36,2352,-1,5,5
16,37,1021,-1,4,5
16,38,1363,-1,3,2
16,39,1699,-1,2,6
16,40,2748,1,3,6
16,41,2726,-1,6,7
16,42,2960,1,5,5
16,43,3257,-1,2,2
16,44,1716,-1,10,7
16,45,1646,-1,9,8
16,46,2453,1,5,6
16,47,5252,-1,9,6
16,48,1465,-1,6,5
16,49,1355,-1,7,2
16,50,1379,1,6,2
16,51,875,1,6,10
16,52,1277,1,5,3
16,53,867,-1,6,6
16,54,2134,1,8,8
16,55,1567,1,6,9
16,56,1213,-1,8,5
16,57,3139,1,7,9
16,58,1347,1,3,7
16,59,1307,1,2,5
16,60,1266,-1,9,8
16,61,2430,1,2,6
16,62,1396,1,9,6
16,63,1187,1,5,5
16,64,1687,1,6,9
16,65,1134,-1,5,0
16,66,1629,1,6,7
16,67,1054,1,5,9
16,68,1516,1,8,10
16,69,1444,1,7,10
16,70,1793,1,7,6
16,71,3844,1,5,8
16,72,1247,1,0,2
16,73,1153,-1,8,4
16,74,1575,-1,9,6
16,75,2018,-1,5,0
16,76,1002,1,8,10
16,77,2051,1,2,2
16,78,2490,1,3,6
16,79,2328,-1,6,5
16,80,1006,1,5,10
16,81,1301,1,6,10
16,82,5621,1,6,10
16,83,1293,1,6,10
16,84,1385,-1,7,6
16,85,869,-1,10,5
16,86,1749,-1,5,0
16,87,772,-1,8,5
16,88,1277,1,7,9
16,89,1256,-1,7,6
16,90,1094,1,9,10
16,91,1420,1,5,10
16,92,1163,1,6,6
16,93,3523,-1,7,8
16,94,1450,1,9,9
16,95,860,-1,10,5
16,96,1056,1,6,6
16,97,1025,-1,7,5
16,98,815,-1,9,5
16,99,1503,-1,5,3
16,100,2128,-1,4,5
17,1,1191,-1,0,0
17,2,1660,-1,0,1
17,3,1338,1,2,0
17,4,1056,-1,0,0
17,5,1073,-1,1,0
17,6,1107,1,2,4
17,7,996,1,0,0
17,8,756,-1,1,4
17,9,1367,-1,0,4
17,10,998,-1,5,5
17,11,1248,-1,2,4
17,12,1376,1,2,1
17,13,1116,-1,2,3
17,14,1161,-1,4,2
17,15,1316,1,0,3
17,16,947,-1,5,2
17,17,1311,-1,0,3
17,18,1166,-1,4,0
17,19,1271,1,3,3
17,20,1053,1,0,0
17,21,1193,-1,3,4
17,22,1746,-1,5,6
17,23,1494,1,2,3
17,24,1133,1,0,3
17,25,1143,-1,2,0
17,26,1112,-1,5,2
17,27,1132,-1,3,0
17,28,1362,-1,2,5
17,29,1725,-1,5,2
17,30,1153,-1,0,2
17,31,1675,1,5,2
17,32,1178,-1,1,2
17,33,1829,-1,2,1
17,34,1647,1,2,2
17,35,2216,1,0,2
17,36,1246,1,2,2
17,37,1633,-1,0,3
17,38,992,-1,2,2
17,39,1447,-1,3,1
17,40,1453,-1,2,0
17,41,1683,-1,3,2
17,42,1494,-1,3,2
17,43,1375,-1,3,0
17,44,1400,1,2,2
17,45,1286,-1,6,2
17,46,1399,-1,0,0
17,47,1581,-1,6,1
17,48,1062,-1,2,4
17,49,1249,1,1,2
17,50,1073,-1,2,4
17,51,1364,1,1,2
17,52,1006,-1,3,2
17,53,1087,-1,3,2
17,54,1166,1,2,4
17,55,1280,1,0,2
17,56,1034,1,2,3
17,57,1585,-1,0,2
17,58,933,1,2,2
17,59,919,-1,2,0
17,60,1001,1,0,2
17,61,1594,-1,3,5
17,62,1169,-1,0,0
17,63,1386,-1,3,2
17,64,1132,-1,1,0
17,65,1220,-1,0,0
17,66,1025,-1,3,1
17,67,1188,1,0,3
17,68,1282,-1,1,0
17,69,1232,1,2,0
17,70,1224,-1,2,3
17,71,819,1,0,5
17,72,1351,1,0,3
17,73,1347,-1,3,0
17,74,886,1,0,2
17,75,1291,1,0,0
17,76,792,-1,3,2
17,77,1666,1,2,5
17,78,874,-1,3,2
17,79,778,-1,2,2
17,80,1435,-1,4,2
17,81,1401,1,3,5
17,82,957,-1,3,3
17,83,908,-1,3,2
17,84,991,-1,4,0
17,85,1133,-1,2,3
17,86,1009,-1,5,2
17,87,1357,-1,5,3
17,88,1676,1,2,4
17,89,803,-1,5,2
17,90,3768,-1,2,0
17,91,930,-1,2,2
17,92,801,1,0,1
17,93,1041,1,1,3
17,94,929,1,2,4
17,95,1072,-1,2,2
17,96,1638,1,3,4
17,97,1815,1,2,2
17,98,1092,1,0,2
17,99,2056,-1,1,5
17,100,988,-1,2,2
18,1,13456,-1,2,0
18,2,6881,-1,8,8
18,3,3420,1,3,3
18,4,5435,1,4,3
18,5,3374,-1,8,5
18,6,6397,-1,5,0
18,7,5665,-1,5,5
18,8,5557,-1,4,5
18,9,4688,-1,9,5
18,10,8984,-1,6,2
18,11,4972,1,1,6
18,12,3275,-1,4,5
18,13,4538,-1,5,5
18,14,4335,-1,7,5
18,15,3051,-1,1,0
18,16,2669,1,6,4
18,17,1531,1,0,5
18,18,1263,1,5,10
18,19,1071,-1,9,5
18,20,2461,-1,5,0
18,21,3950,-1,3,2
18,22,4081,-1,4,5
18,23,4340,1,1,3
18,24,2647,-1,9,5
18,25,4659,-1,7,5
18,26,2210,-1,9,6
18,27,1862,-1,9,5
18,28,3516,-1,7,8
18,29,4445,1,5,5
18,30,2703,-1,9,5
18,31,1365,1,5,9
18,32,4176,1,7,8
18,33,2372,1,4,8
18,34,5941,1,7,4
18,35,1858,-1,2,0
18,36,2031,-1,9,5
18,37,874,-1,10,8
18,38,3726,1,1,6
18,39,2022,1,2,4
18,40,2169,1,4,8
18,41,4193,-1,1,5
18,42,1722,-1,8,5
18,43,5487,-1,1,2
18,44,1579,-1,9,6
18,45,2377,-1,4,5
18,46,2274,-1,4,8
18,47,2128,-1,8,5
18,48,3828,1,2,3
18,49,2139,1,5,5
18,50,4134,-1,5,3
18,51,2909,1,8,5
18,52,6905,-1,1,2
18,53,4445,1,4,5
18,54,1372,1,4,9
18,55,1193,1,0,5
18,56,1686,-1,6,5
18,57,2254,1,3,5
18,58,1744,1,8,8
18,59,1903,1,2,5
18,60,2293,-1,5,4
18,61,5425,-1,6,5
18,62,3031,1,1,5
18,63,3261,1,2,5
18,64,1211,-1,5,2
18,65,1100,1,5,8
18,66,2572,1,6,1
18,67,857,1,2,5
18,68,1789,1,1,6
18,69,960,1,5,10
18,70,3105,1,1,4
18,71,1895,1,1,5
18,72,2411,1,1,3
18,73,6056,-1,6,5
18,74,3226,-1,4,6
18,75,4501,-1,6,5
18,76,1237,1,0,5
18,77,8705,-1,5,6
18,78,1369,1,6,9
18,79,6212,-1,5,8
18,80,3172,-1,1,4
18,81,3152,-1,6,6
18,82,1513,-1,4,1
18,83,968,-1,9,5
18,84,5570,1,2,4
18,85,1460,-1,9,4
18,86,986,-1,4,5
18,87,6521,1,5,5
18,88,1579,-1,8,6
18,89,1693,-1,2,0
18,90,2064,-1,8,5
18,91,3725,-1,6,5
18,92,1011,-1,8,6
18,93,2572,1,5,7
18,94,2047,1,2,6
18,95,4371,1,4,3
18,96,4315,-1,6,6
18,97,3592,-1,7,5
18,98,1045,1,6,9
18,99,2971,-1,6,5
18,100,3023,-1,5,8
19,1,1449,1,7,5
19,2,1918,1,6,3
19,3,1970,-1,5,6
19,4,1908,-1,5,4
19,5,1591,1,0,4
19,6,1263,-1,5,1
19,7,1848,-1,5,4
19,8,1242,-1,6,3
19,9,1543,-1,5,7
19,10,1719,1,1,5
19,11,1504,1,4,8
19,12,2224,1,4,5
19,13,1803,-1,6,7
19,14,1864,-1,3,1
19,15,1423,1,7,9
19,16,1661,-1,3,6
19,17,1423,-1,3,5
19,18,2023,1,4,5
19,19,2263,1,7,6
19,20,2828,1,5,7
19,21,1485,1,1,5
19,22,1584,1,4,7
19,23,1302,-1,9,7
19,24,1544,-1,7,7
19,25,1930,-1,1,4
19,26,2213,-1,5,3
19,27,1141,-1,5,5
19,28,2022,-1,7,7
19,29,2671,-1,3,7
19,30,2963,1,1,3
19,31,1537,-1,5,6
19,32,1785,1,6,9
19,33,1972,1,4,4
19,34,1331,1,0,5
19,35,2316,1,5,6
19,36,1738,-1,5,1
19,37,1913,-1,3,3
19,38,1337,1,7,9
19,39,1712,-1,4,0
19,40,1296,1,3,5
19,41,3182,-1,9,9
19,42,3189,1,0,0
19,43,1557,-1,7,5
19,44,1187,-1,8,3
19,45,2156,1,4,4
19,46,1550,1,5,5
19,47,1320,1,4,5
19,48,1260,-1,3,1
19,49,1175,1,4,5
19,50,1632,-1,5,4
19,51,1020,-1,5,5
19,52,2123,-1,7,5
19,53,1176,1,1,5
19,54,2459,-1,10,9
19,55,1547,-1,7,5
19,56,1629,-1,5,7
19,57,2540,1,5,7
19,58,1896,1,0,4
19,59,2124,1,6,6
19,60,1293,-1,10,6
19,61,2157,-1,4,2
19,62,1678,1,4,6
19,63,1370,-1,7,4
19,64,2575,1,5,5
19,65,2938,1,3,4
19,66,1584,-1,4,4
19,67,1114,1,6,8
19,68,1318,-1,5,4
19,69,1366,1,5,7
19,70,1285,-1,4,1
19,71,1366,-1,4,0
19,72,1640,-1,5,6
19,73,2066,-1,1,4
19,74,1558,1,6,7
19,75,2300,-1,5,4
19,76,1576,1,1,5
19,77,1101,1,7,7
19,78,3419,1,5,5
19,79,2651,1,6,5
19,80,2587,1,2,7
19,81,2975,1,4,4
19,82,2090,1,1,5
19,83,1473,-1,6,1
19,84,1682,-1,10,7
19,85,1209,1,3,8
19,86,1461,-1,5,1
19,87,1265,1,1,3
19,88,2135,1,1,6
19,89,1124,1,1,4
19,90,1500,1,5,5
19,91,1615,1,5,10
19,92,1181,1,4,5
19,93,1523,1,5,10
19,94,2642,-1,5,3
19,95,1521,-1,6,1
19,96,3612,1,2,4
19,97,1363,1,4,5
19,98,1533,-1,5,4
19,99,1320,1,3,6
19,100,1812,-1,6,5
20,1,1991,-1,4,2
20,2,1813,1,2,6
20,3,2099,1,1,3
20,4,833,-1,5,1
20,5,1612,-1,3,0
20,6,1402,1,2,3
20,7,1655,-1,3,0
20,8,2123,1,2,2
20,9,1239,-1,3,3
